logtime,beam_current,beam_energy,integrated_current,integrated_colmn2.5Gev
2019-05-22 05:20:00.0,0.13,0.0,5094.36,3376.469
2019-05-22 05:21:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:22:00.0,0.06,0.0,5094.36,3376.469
2019-05-22 05:23:00.0,0.01,0.0,5094.36,3376.469
2019-05-22 05:24:00.0,0.07,0.0,5094.36,3376.469
2019-05-22 05:25:00.0,0.11,0.0,5094.36,3376.469
2019-05-22 05:26:00.0,0.14,0.0,5094.36,3376.469
2019-05-22 05:27:00.0,0.13,0.0,5094.36,3376.469
2019-05-22 05:28:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:29:00.0,0.06,0.0,5094.36,3376.469
2019-05-22 05:30:00.0,0.02,0.0,5094.36,3376.469
2019-05-22 05:31:00.0,0.05,0.0,5094.36,3376.469
2019-05-22 05:32:00.0,0.11,0.0,5094.36,3376.469
2019-05-22 05:33:00.0,0.13,0.0,5094.36,3376.469
2019-05-22 05:34:00.0,0.13,0.0,5094.36,3376.469
2019-05-22 05:35:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:36:00.0,0.07,0.0,5094.36,3376.469
2019-05-22 05:37:00.0,0.02,0.0,5094.36,3376.469
2019-05-22 05:38:00.0,0.04,0.0,5094.36,3376.469
2019-05-22 05:39:00.0,0.1,0.0,5094.36,3376.469
2019-05-22 05:40:00.0,0.13,0.0,5094.36,3376.469
2019-05-22 05:41:00.0,0.13,0.0,5094.36,3376.469
2019-05-22 05:42:00.0,0.1,0.0,5094.36,3376.469
2019-05-22 05:43:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:44:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:45:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:46:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:47:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:48:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:49:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:50:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:51:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:52:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:53:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:54:00.0,0.08,0.0,5094.36,3376.469
2019-05-22 05:55:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:56:00.0,0.09,0.0,5094.36,3376.469
2019-05-22 05:57:00.0,0.1,0.0,5094.36,3376.469
2019-05-22 05:58:00.0,2.72,545.61664,5094.36,3376.469
2019-05-22 05:59:00.0,8.71,545.70374,5094.36,3376.469
2019-05-22 06:00:00.0,14.59,545.7345,5094.3604,3376.469
2019-05-22 06:01:00.0,19.52,545.6548,5094.3604,3376.469
2019-05-22 06:02:00.0,26.43,545.57336,5094.361,3376.469
2019-05-22 06:03:00.0,27.26,545.65173,5094.3613,3376.469
2019-05-22 06:04:00.0,27.18,545.5075,5094.362,3376.469
2019-05-22 06:05:00.0,27.11,572.3077,5094.3623,3376.469
2019-05-22 06:06:00.0,27.03,612.18317,5094.363,3376.469
2019-05-22 06:07:00.0,26.96,693.6966,5094.3633,3376.469
2019-05-22 06:08:00.0,26.89,799.3431,5094.364,3376.469
2019-05-22 06:09:00.0,26.85,920.3559,5094.3643,3376.469
2019-05-22 06:10:00.0,26.81,1140.5532,5094.3647,3376.469
2019-05-22 06:11:00.0,26.78,1449.8123,5094.3647,3376.469
2019-05-22 06:12:00.0,26.77,1746.2004,5094.365,3376.469
2019-05-22 06:13:00.0,26.75,2032.2216,5094.3657,3376.469
2019-05-22 06:14:00.0,26.73,2277.859,5094.366,3376.469
2019-05-22 06:15:00.0,26.7,2443.894,5094.3667,3376.469
2019-05-22 06:16:00.0,26.66,2499.86,5094.367,3376.4692
2019-05-22 06:17:00.0,26.65,2499.8535,5094.3677,3376.4697
2019-05-22 06:18:00.0,26.64,2499.8638,5094.368,3376.4702
2019-05-22 06:19:00.0,26.63,2499.8552,5094.3687,3376.4707
2019-05-22 06:20:00.0,26.63,2499.8633,5094.369,3376.471
2019-05-22 06:21:00.0,26.62,2499.8704,5094.3696,3376.4714
2019-05-22 06:22:00.0,26.61,2499.859,5094.3696,3376.472
2019-05-22 06:23:00.0,26.61,2499.8718,5094.37,3376.4724
2019-05-22 06:24:00.0,26.6,2499.8682,5094.3706,3376.473
2019-05-22 06:25:00.0,26.59,2499.8733,5094.371,3376.4731
2019-05-22 06:26:00.0,26.59,2499.8762,5094.3716,3376.4736
2019-05-22 06:27:00.0,26.58,2499.8682,5094.372,3376.474
2019-05-22 06:28:00.0,0.06,0.0,5094.372,3376.474
2019-05-22 06:29:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 06:30:00.0,0.14,0.0,5094.372,3376.474
2019-05-22 06:31:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 06:32:00.0,0.1,0.0,5094.372,3376.474
2019-05-22 06:33:00.0,0.07,0.0,5094.372,3376.474
2019-05-22 06:34:00.0,0.03,0.0,5094.372,3376.474
2019-05-22 06:35:00.0,0.01,0.0,5094.372,3376.474
2019-05-22 06:36:00.0,0.1,0.0,5094.372,3376.474
2019-05-22 06:37:00.0,0.12,0.0,5094.372,3376.474
2019-05-22 06:38:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 06:39:00.0,0.1,0.0,5094.372,3376.474
2019-05-22 06:40:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 06:41:00.0,0.04,0.0,5094.372,3376.474
2019-05-22 06:42:00.0,0.0,0.0,5094.372,3376.474
2019-05-22 06:43:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 06:44:00.0,0.12,0.0,5094.372,3376.474
2019-05-22 06:45:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 06:46:00.0,0.12,0.0,5094.372,3376.474
2019-05-22 06:47:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 06:48:00.0,0.05,0.0,5094.372,3376.474
2019-05-22 06:49:00.0,0.0,0.0,5094.372,3376.474
2019-05-22 06:50:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 06:51:00.0,0.11,0.0,5094.372,3376.474
2019-05-22 06:52:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 06:53:00.0,0.12,0.0,5094.372,3376.474
2019-05-22 06:54:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 06:55:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 06:56:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 06:57:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 06:58:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 06:59:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:00:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:01:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:02:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:03:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:04:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:05:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:06:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:07:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:08:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:09:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:10:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:11:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:12:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:13:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:14:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:15:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:16:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:17:00.0,0.11,0.0,5094.372,3376.474
2019-05-22 07:18:00.0,0.12,0.0,5094.372,3376.474
2019-05-22 07:19:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:20:00.0,0.05,0.0,5094.372,3376.474
2019-05-22 07:21:00.0,0.0,0.0,5094.372,3376.474
2019-05-22 07:22:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:23:00.0,0.12,0.0,5094.372,3376.474
2019-05-22 07:24:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 07:25:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 07:26:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:27:00.0,0.06,0.0,5094.372,3376.474
2019-05-22 07:28:00.0,0.02,0.0,5094.372,3376.474
2019-05-22 07:29:00.0,0.06,0.0,5094.372,3376.474
2019-05-22 07:30:00.0,0.11,0.0,5094.372,3376.474
2019-05-22 07:31:00.0,0.14,0.0,5094.372,3376.474
2019-05-22 07:32:00.0,0.14,0.0,5094.372,3376.474
2019-05-22 07:33:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:34:00.0,0.07,0.0,5094.372,3376.474
2019-05-22 07:35:00.0,0.02,0.0,5094.372,3376.474
2019-05-22 07:36:00.0,0.05,0.0,5094.372,3376.474
2019-05-22 07:37:00.0,0.11,0.0,5094.372,3376.474
2019-05-22 07:38:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 07:39:00.0,0.13,0.0,5094.372,3376.474
2019-05-22 07:40:00.0,0.1,0.0,5094.372,3376.474
2019-05-22 07:41:00.0,0.08,0.0,5094.372,3376.474
2019-05-22 07:42:00.0,0.09,0.0,5094.372,3376.474
2019-05-22 07:43:00.0,0.09,0.0,5094.372,3376.474
